Cilium.ID,Position,Total.Length.pixel.,Outer.Length.pixel.,Out.In.Ratio...,Analysis.Time.s.,Manual.Total.Length.pixel.,Manual.Outer.Length.pixel.,Manual.Out.In.Ratio...,Manual.Analysis.Time.s.,fileName
1,"[43,44,15,17]",9.223322385997708,0,0,0.0131955,9.223322385997708,0,0,0,combined_blurred_cilia_z_projection.tif
2,"[43,144,15,17]",10,0,0,0.0047057,10,0,0,0,combined_blurred_cilia_z_projection.tif
3,"[43,244,15,17]",9.223322385997708,0,0,0.0019431,9.223322385997708,0,0,0,combined_blurred_cilia_z_projection.tif
4,"[43,344,15,17]",10,0,0,0.0021192,10,0,0,0,combined_blurred_cilia_z_projection.tif
5,"[43,444,15,17]",10,0,0,0.0037286,10,0,0,0,combined_blurred_cilia_z_projection.tif
6,"[42,544,17,17]",8.622628993430752,0,0,0.0021446,8.622628993430752,0,0,0,combined_blurred_cilia_z_projection.tif
7,"[42,643,17,19]",10.59690167276098,0,0,0.0021645,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
8,"[42,743,17,19]",11,0,0,0.0019589,11,0,0,0,combined_blurred_cilia_z_projection.tif
9,"[42,843,17,19]",10.59690167276098,0,0,0.0022369,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
10,"[42,943,17,19]",10.59690167276098,0,0,0.0022466,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
11,"[142,43,17,19]",9.86024565847412,0,0,0.0209669,9.86024565847412,0,0,0,combined_blurred_cilia_z_projection.tif
12,"[142,143,17,19]",10.59690167276098,0,0,0.0027411,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
13,"[142,243,17,19]",10.59690167276098,0,0,0.0022412,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
14,"[142,343,17,19]",10.59690167276098,0,0,0.0022191,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
15,"[142,443,17,19]",10.59690167276098,0,0,0.002178,10.59690167276098,0,0,0,combined_blurred_cilia_z_projection.tif
16,"[142,543,17,19]",9.86024565847412,0,0,0.0023056,9.86024565847412,0,0,0,combined_blurred_cilia_z_projection.tif
