fileName;cilium;vertical_length_in_um;vertical_length_in_layers;horizontal_length_in_um;horizontal_length_in_pixels;total_length_in_um;to_be_removed
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;1;1,96979365671714;7;1,323339197480370;6,02484414048121;2,37303891279327;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;2;1,68839456290040;6;1,864369041391270;8,48802250859598;2,51526303247391;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;3;1,68839456290040;6;1,452950742595870;6,61493423953866;2,22749681491165;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;4;2,25119275053387;8;1,687260469498690;7,68168990420576;2,81331062842147;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;5;2,53259184435061;9;1,433646945182910;6,52704870652193;2,91021734815520;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;6;3,65818821961754;13;1,766582472622830;8,04282384979101;4,06240749835941;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;7;2,53259184435061;9;2,272270374816120;10,34509888270950;3,40253348349993;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;8;2,53259184435061;9;0,904864546474827;4,11963000199645;2,68938678838472;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;9;1,96979365671714;7;1,600917801338170;7,28859256428654;2,53831141838123;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;10;3,65818821961754;13;1,845125721881650;8,40041231688424;4,09717341342759;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;11;2,25119275053387;8;1,490826162332890;6,78737188901308;2,70007989629057;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;12;3,09539003198407;11;1,561750760629860;7,11027447610419;3,46705997762287;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;13;2,25119275053387;8;0,664522846416338;3,02541221862866;2,34722376723344;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;14;2,53259184435061;9;1,548897478117600;7,05175658138952;2,96868739475720;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;15;2,81399093816734;10;1,487373161339910;6,77165120845040;3,18289552470108;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;16;1,96979365671714;7;0,671883703741832;3,05892442639131;2,08122914677767;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;17;1,96979365671714;7;0,661187626587250;3,01022776729317;2,07780079112391;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;18;2,53259184435061;9;1,790704697309850;8,15264651984998;3,10171642208613;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;19;2,53259184435061;9;1,334154595467530;6,07408403854662;2,86251461737374;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;20;2,81399093816734;10;1,540892290640050;7,01531089387465;3,20825405032735;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;21;2,53259184435061;9;1,405307069044950;6,39802408681988;2,89636140845353;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;22;3,37678912580081;12;1,130900043771850;5,14871509523908;3,56112899361000;yes_or_no
190730_EV38_1_Collagen_ITSwithAsc+Dexa+IGF+TGF_63x_zstack_1.czi;23;1,40699546908367;5;0,684703941795921;3,11729187765915;1,56475421007034;yes_or_no
